rank,uri,,,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
157,spotify:track:4bIQXffbALkCC0Xo6aTicP,,,"Shaarib Toshi, Toshi Sabri",Maahi,Sony Music Entertainment India Pvt. Ltd.,157,-1,1,1440135
158,spotify:track:5GJ3WaxTSlxDY3csctX20H,,,Himesh Reshammiya,Bewajah,Sony Music Entertainment India Pvt. Ltd.,12,189,15,1439164
159,spotify:track:7Imk0IG6S5GA5iYWkjmMW5,,,"Palak Muchhal, Arijit Singh","Chahun Main Ya Naa (From ""Aashiqui 2"")",T-Series,103,135,84,1433869
160,spotify:track:2aH78X2rspZ3RibbAFXdjh,,,"Masoom Sharma, Pinna Music, Amar Karnawal",Mard,Masoom Sharma,81,126,7,1425674
161,spotify:track:4VsP4Dm8gsibRxB5I2hEkw,,,Kaifi Khalil,Kahani Suno 2.0,1944121 Records DK,1,121,127,1421182
162,spotify:track:0tgVpDi06FyKpA1z0VMD4v,,,Ed Sheeran,Perfect,Atlantic Records UK,29,154,266,1418365
163,spotify:track:79hQvdTHNBkq2fp2ZrM8b2,,,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal,Sony Music Entertainment India Pvt. Ltd.,34,87,317,1415352
164,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,,,Sabrina Carpenter,Espresso,Island Records,26,-1,44,1408199
165,spotify:track:0rk2X5TAhraBC5aCIXK2Rq,,,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",Samjhawan,Sony Music Entertainment India Pvt. Ltd.,70,147,196,1391465
166,spotify:track:6mTvwBzWTGDOVeCNQEqtOE,,,"Amaal Mallik, Arijit Singh, Tulsi Kumar",Soch Na Sake,T-Series,46,107,125,1388340
167,spotify:track:3xMHXmedL5Rvfxmiar9Ryv,,,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Chaleya,T-Series,1,151,92,1387279
168,spotify:track:76ZWOhRRQzmb4xMoZzTjJ9,,,"Yo Yo Honey Singh, Paradox",Payal,T-Series,14,152,26,1386781
169,spotify:track:69Qzz3yyQSsA0T95jLDoPL,,,"Gurnazar, Chet Singh",Dil Tu Jaan Tu,Mars Films / Jhankar Music,14,155,43,1384158
170,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,,,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,98,169,72,1373331
171,spotify:track:6457ZKiycyQm6qrNcu5y15,,,"Komal Chaudhary, Masoom Sharma",Mere Mittar,Komal Chaudhary,55,122,9,1370988
172,spotify:track:4kaLkst9lT3sQ5Crgxs3ic,,,"Ayushmann Khurrana, Rochak Kohli",Pani Da Rang - Male Vocals,Eros Now Music,68,193,50,1370743
173,spotify:track:5daE0LYn2yQquJ9BUTma2f,,,"Job Kurian, Mridula Warrier",Kannodu - Live,Job Kurian Productions,173,200,2,1361334
174,spotify:track:3iiiuE1iI2viPi0Z55eiPM,,,"Jakes Bejoy, M. G. Sreekumar",Kanmanipoove,Sony Music Entertainment India Pvt. Ltd.,158,158,2,1345341
175,spotify:track:3HiobOOpSpMsi95WBKPBYk,,,"Jeet Gannguli, Arijit Singh, Rashmi Virag",Hamari Adhuri Kahani (Title Track),Sony Music Entertainment India Pvt. Ltd.,56,199,183,1344710
176,spotify:track:1wnozUBSe7OMpmZiTPJC5j,,,"A.R. Rahman, Javed Ali, KIRTI SAGATHIA, Pooja AV","Tum Tak (From ""Raanjhanaa"")",Sony Music Entertainment India Pvt. Ltd.,113,171,31,1344517
177,spotify:track:3F3ZuXYFXGM1V6pk3b3zmi,,,"Diljit Dosanjh, thiarajxtt",Kinni Kinni,DILJIT DOSANJH,24,172,76,1343234
178,spotify:track:1EjxJHY9A6LMOlvyZdwDly,,,"Pritam, Neeraj Shridhar",Tum Mile,Sony Music Entertainment India Pvt. Ltd.,177,-1,5,1343201
179,spotify:track:2Z6HgNji9cNlFLNORw6wDQ,,,"Mansheel Gujral, Akhil Sachdeva","Channa Ve - From ""Bhoot - Part One: The Haunted Ship""",Zee Music Company,33,-1,70,1342594
180,spotify:track:1feANd8EfcDP5UqSvbheM3,,,"Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")",T-Series,1,-1,267,1342523
181,spotify:track:5a11x5PUFvJEadMRqtNtTr,,,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Piya O Re Piya,Tips Industries Ltd,95,103,17,1337525
182,spotify:track:0vua5LbAth2HzKqpbnVRZk,,,"A.R. Rahman, Sid Sriram",Nee Singam Dhan,Sony Music Entertainment India Pvt. Ltd.,94,157,17,1336302
183,spotify:track:7wW9scVNLYFLsmBb1yAUmS,,,Yo Yo Honey Singh,Blue Eyes,T-Series,38,-1,48,1331877
184,spotify:track:5sUSbJo0brScvv48ZZ1HrQ,,,"Atif Aslam, Jyotica Tangri",O Meri Laila,Zee Music Company,16,-1,50,1330896
185,spotify:track:5Tkf5CbtVYHA1SiKo1NrJE,,,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Saregama India Ltd,1,192,97,1323228
186,spotify:track:1tf2iody5iRLYYPDSBpzRc,,,"Badshah, Arijit Singh",Soulmate,Universal Music India Pvt Ltd.,2,-1,54,1322565
187,spotify:track:1fcCPXmH4vUzG6UQTTjZp5,,,"Mithoon, Arijit Singh, Shashaa Tirupati",Phir Bhi Tumko Chaahunga,Zee Music Company,117,142,39,1314670
188,spotify:track:0UVcAOt6NMxYQ24zD66XKk,,,"Jassie Gill, Kartik Dev, Gaurav Dev",Lor Lor,EYP Creations,148,148,2,1312388
189,spotify:track:2MvCNH9ua0CeOgUQfZf56z,,,Javed Ali,Guzarish,T-Series,109,196,31,1310542
190,spotify:track:5EYZZvmNAH5VZCwuzYJqoA,,,"Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi",Chand Sifarish,YRF Music,98,-1,56,1302115
191,spotify:track:3bTnREOf1CyY4Gz5jfHUiI,,,"Leon James, Sid Sriram, Sanjana Kalmanje","Vazhithunaiye - From ""Dragon""",Think Music,76,182,13,1301006
192,spotify:track:5xlYVZxEwriP6hetG7QJw7,,,AP Dhillon,Old Money,AP Dhillon,13,-1,28,1294506
193,spotify:track:5VrLz2NUTLbPzgjuVOjxUx,,,"Atif Aslam, Jal, Mithoon","Aadat - From ""Kalyug""",Universal Music India Pvt Ltd. – Distribution,131,131,3,1289170
194,spotify:track:3bQsp4Vr9Rg4fNCx6HPOgX,,,Anuv Jain,Alag Aasmaan,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),30,-1,72,1288444
195,spotify:track:209QxKVJzh2FLUmZHpYs4m,,,"Badshah, Karan Aujla, Hiten",God Damn,Universal Music India Pvt Ltd.,15,184,58,1283851
196,spotify:track:0OdztoASgKBBNcAgtErk0X,,,"Abdul Hannan, Rovalio",Bikhra,2636621 Records DK,125,175,7,1283303
197,spotify:track:3OLFqbd9ZeVjaUKTiaLsD6,,,"Pritam, Javed Ali, Irshan Ashraf, Shadab",Tu Hi Haqeeqat,Sony Music Entertainment India Pvt. Ltd.,174,-1,8,1283155
198,spotify:track:6voByoJq77rN6FITdRhtLb,,,"Karan Aujla, Manna Music",48 Rhymes,WM Canada,168,-1,2,1279784
199,spotify:track:5GENwU66wYztXVqEOLubyF,,,"G. V. Prakash, Arivu, Dhanush, Sublahshini","Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,75,191,24,1277008
200,spotify:track:0fK7ie6XwGxQTIkpFoWkd1,,,JENNIE,like JENNIE,OA Entertainment/Columbia,131,181,10,1272002
