rank,uri,,,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
33,spotify:track:5AnWrUzsrFgBvhn6dUElnr,,,"Sachin-Jigar, Madhubanti Bagchi, Divya Kumar, Amitabh Bhattacharya","Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,1,34,43,2568902
34,spotify:track:0SAZ4IHYMtjW4Lxrjm7NnG,,,"Altamash Faridi, Sohail Sen, Mudassar Aziz",Aashiq Tera,Eros Now Music,34,44,11,2555547
35,spotify:track:6fScgF2Y63ScU73nYju0ny,,,"Atif Aslam, Arko",O Saathi,T-Series,28,39,147,2544784
36,spotify:track:5VvkNZesG4T86mUULEG5Wp,,,"Sachet-Parampara, Sachet Tandon, Parampara Tandon, Kausar Munir",Maiyya,T-Series,19,41,24,2540159
37,spotify:track:5ZLkihi6DVsHwDL3B8ym1t,,,Shubh,One Love,SHUBH,3,40,92,2511833
38,spotify:track:0TL0LFcwIBF5eX7arDIKxY,,,Anuv Jain,Husn,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,35,77,2448563
39,spotify:track:56zZ48jdyY2oDXHVnwg5Di,,,"Mithoon, Arijit Singh",Tum Hi Ho,T-Series,26,26,225,2428517
40,spotify:track:2GXXZFUxYg2LvG8SR0byOE,,,"Sachin-Jigar, Atif Aslam",Jeena Jeena,Eros Now Music,24,24,193,2423248
41,spotify:track:3PWfXDaGLxwN9UJDHMEyKi,,,"Masoom Sharma, Sheenam Katholic, Kay D, Aarohi Raghav",Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),Empire Media,18,33,10,2339165
42,spotify:track:4eBvRhTJ2AcxCsbfTUjoRp,,,Shubh,Cheques,SHUBH,1,69,104,2337254
43,spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W,,,Anuv Jain,Baarishein,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),16,56,210,2329702
44,spotify:track:0YQJoDL6f46J0n1rOVkpxJ,,,"Karan Aujla, Ikky",Softly,WM Canada,4,46,92,2279087
45,spotify:track:0FBQ4NrrHUbR9kus7rzrOj,,,Atif Aslam,Dil Diyan Gallan,YRF Music,45,52,275,2277127
46,spotify:track:2JlzHPGIVaLNAppX1viq7f,,,"Santhosh Narayanan, The Indian Choral Ensemble, Vivek","Kanimaa (From ""Retro"")",T-Series,16,17,8,2263114
47,spotify:track:0GQngE2rOYvlKwEQjTAsP8,,,"Pritam, Sreeram, Shilpa Rao",Subhanallah,T-Series,34,42,111,2261081
48,spotify:track:0XRb6eZE4dBIJdqwf1Mixu,,,"Juss, MixSingh",Suniyan Suniyan,Mix It Up Studio,3,49,53,2244964
49,spotify:track:5fBghXeYCGIEVuExKytoJ9,,,Shubh,Fell For You,SHUBH,19,97,17,2233495
50,spotify:track:3FqtduiaqnFYvBgKuc6QWQ,,,"Karan Aujla, Seshnolan",Winning Speech,Karan Aujla,8,54,53,2228584
51,spotify:track:3t3wsY5IdLVzB9WidegJSU,,,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Jeene Laga Hoon,Tips Industries Ltd,28,28,37,2211597
52,spotify:track:72zHuDxFQTjbL51qJQSA7j,,,"Jasleen Royal, B Praak, Romy","Ranjha (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,63,198,2195283
53,spotify:track:1r6GbBLdtUK1Vl1IHT14wP,,,"Mohammad Faiz, Jaani","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,2,79,53,2176558
54,spotify:track:4wIWWEhbdgKAxhR68eE0Ye,,,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States"")",T-Series,45,83,222,2127898
55,spotify:track:2nP1wLRh85mo5Wdj4RQldp,,,"Amit Trivedi, Madhubanti Bagchi, Amitabh Bhattacharya","Uyi Amma - From ""Azaad""",Zee Music Company,24,50,18,2120497
56,spotify:track:4Tkb7zsDmsawB7S5TpKQV1,,,"Atif Aslam, Shiraz Uppal",Pehli Dafa,T-Series,50,55,81,2110580
57,spotify:track:3ygfdwvBJ2Y5XhJiiHFFZE,,,Sachet Tandon,Maiyya Mainu,Zee Music Company,5,95,133,2099168
58,spotify:track:7eQl3Yqv35ioqUfveKHitE,,,"Pritam, Mohit Chauhan, Irshad Kamil",Tum Se Hi,T-Series,12,30,270,2088216
59,spotify:track:5FXMRdJjKq1BIX4e8Eg9mK,,,"Vishal-Shekhar, KK",Ajab Si,T-Series,19,27,176,2086508
60,spotify:track:5Ggb9pKiKcr5vNV9v1e1vs,,,"Sachin-Jigar, Varun Jain, Shilpa Rao, Amitabh Bhattacharya","Tumhare Hi Rahenge Hum (From ""Stree 2"")",Saregama India Ltd,8,60,40,2065901
61,spotify:track:22ZIAjVRJTjYj5EwD0MjEJ,,,Masoom Sharma,2 Khatole (Lofi Mix),Tuffan Music,17,51,8,2062186
62,spotify:track:7KQdgW7QzNd9oPoCzjCU76,,,Shubh,Bandana,Shubh,8,91,60,2058385
63,spotify:track:48Ix6ReYdJf2H4mKb3TIpj,,,"Atif Aslam, Alisha Chinai, Pritam",Tera Hone Laga Hoon,Tips Industries Ltd,30,45,210,2044222
64,spotify:track:6bmmHeCvZI92pRiTHxEdTC,,,"Pritam, Arijit Singh, Irshad Kamil",O Maahi,T-Series,4,57,75,2042869
